Information as of 10/19/2020,,,,,,,,,,
County,ID#,Count of Democratic Voters,,Count of Republican Voters,,Count of No Affiliation Voters,,Count of all Other Voters,,Total Count of All Voters
ADAMS,2290,19957.00,,40325.00,,7949.00,,3463.00,,71694.00
ALLEGHENY,2291,537814.00,,265989.00,,89028.00,,44270.00,,937101.00
ARMSTRONG,2292,13648.00,,25765.00,,3196.00,,1949.00,,44558.00
BEAVER,2293,54122.00,,46841.00,,9361.00,,5956.00,,116280.00
BEDFORD,2294,7270.00,,23491.00,,2099.00,,1124.00,,33984.00
BERKS,2295,117936.00,,109454.00,,30559.00,,12491.00,,270440.00
BLAIR,2296,21989.00,,48087.00,,6523.00,,3317.00,,79916.00
BRADFORD,2297,9428.00,,24038.00,,3077.00,,2002.00,,38545.00
BUCKS,2298,207727.00,,196476.00,,54013.00,,25374.00,,483590.00
BUTLER,2299,43331.00,,78431.00,,12299.00,,7409.00,,141470.00
CAMBRIA,2300,37935.00,,39553.00,,6670.00,,2464.00,,86622.00
CAMERON,2301,929.00,,1778.00,,226.00,,170.00,,3103.00
CARBON,2302,17783.00,,21625.00,,4677.00,,2595.00,,46680.00
CENTRE,2303,46700.00,,44244.00,,15418.00,,5046.00,,111408.00
CHESTER,2304,156664.00,,154329.00,,42677.00,,24199.00,,377869.00
CLARION,2305,6844.00,,14607.00,,1895.00,,846.00,,24192.00
CLEARFIELD,2306,15479.00,,28025.00,,3384.00,,2276.00,,49164.00
CLINTON,2307,7561.00,,11641.00,,1904.00,,901.00,,22007.00
COLUMBIA,2308,13688.00,,19966.00,,4243.00,,1782.00,,39679.00
CRAWFORD,2309,18366.00,,30679.00,,4480.00,,2455.00,,55980.00
CUMBERLAND,2310,63861.00,,92123.00,,21385.00,,9016.00,,186385.00
DAUPHIN,2311,89539.00,,77055.00,,20930.00,,9103.00,,196627.00
DELAWARE,2312,206122.00,,159445.00,,34556.00,,20879.00,,421002.00
ELK,2313,7598.00,,10504.00,,1374.00,,936.00,,20412.00
ERIE,2314,98552.00,,73622.00,,18806.00,,9948.00,,200928.00
FAYETTE,2315,39794.00,,33992.00,,5403.00,,2523.00,,81712.00
FOREST,2316,1155.00,,1950.00,,223.00,,160.00,,3488.00
FRANKLIN,2317,24912.00,,60913.00,,10842.00,,3630.00,,100297.00
FULTON,2318,2013.00,,6724.00,,658.00,,347.00,,9742.00
GREENE,2319,10130.00,,10273.00,,1470.00,,759.00,,22632.00
HUNTINGDON,2320,7465.00,,17750.00,,2122.00,,764.00,,28101.00
INDIANA,2321,17940.00,,26957.00,,4371.00,,2213.00,,51481.00
JEFFERSON,2322,8347.00,,19830.00,,2127.00,,1513.00,,31817.00
JUNIATA,2323,3365.00,,9520.00,,1081.00,,392.00,,14358.00
LACKAWANNA,2324,85679.00,,46630.00,,12654.00,,3503.00,,148466.00
LANCASTER,2325,114236.00,,178071.00,,36270.00,,20277.00,,348854.00
LAWRENCE,2326,24101.00,,26275.00,,4311.00,,2302.00,,56989.00
LEBANON,2327,27487.00,,50406.00,,9678.00,,4224.00,,91795.00
LEHIGH,2328,118488.00,,84668.00,,35807.00,,8298.00,,247261.00
LUZERNE,2329,105998.00,,85538.00,,20600.00,,7197.00,,219333.00
LYCOMING,2330,20922.00,,42502.00,,6453.00,,3352.00,,73229.00
McKEAN,2331,6503.00,,15623.00,,2255.00,,1271.00,,25652.00
MERCER,2332,29195.00,,35149.00,,7361.00,,2324.00,,74029.00
MIFFLIN,2333,6642.00,,17562.00,,2215.00,,755.00,,27174.00
MONROE,2334,53736.00,,39560.00,,15741.00,,7139.00,,116176.00
MONTGOMERY,2335,300052.00,,210035.00,,58764.00,,35386.00,,604237.00
MONTOUR,2336,4801.00,,6896.00,,1695.00,,591.00,,13983.00
NORTHAMPTON,2337,101981.00,,80643.00,,30476.00,,12599.00,,225699.00
NORTHUMBERLAND,2338,19063.00,,29838.00,,4849.00,,2947.00,,56697.00
PERRY,2339,6567.00,,19459.00,,2724.00,,1008.00,,29758.00
PHILADELPHIA,2340,851483.00,,129141.00,,103734.00,,36222.00,,1120580.00
PIKE,2341,14785.00,,20215.00,,6353.00,,3041.00,,44394.00
POTTER,2342,2301.00,,7685.00,,893.00,,341.00,,11220.00
SCHUYLKILL,2343,30076.00,,48340.00,,6948.00,,4477.00,,89841.00
SNYDER,2344,5360.00,,15269.00,,2079.00,,838.00,,23546.00
SOMERSET,2345,13742.00,,30163.00,,3291.00,,1478.00,,48674.00
SULLIVAN,2346,1284.00,,2554.00,,282.00,,165.00,,4285.00
SUSQUEHANNA,2347,7252.00,,16198.00,,2194.00,,1357.00,,27001.00
TIOGA,2348,6030.00,,17201.00,,2518.00,,940.00,,26689.00
UNION,2349,7831.00,,13915.00,,3037.00,,1215.00,,25998.00
VENANGO,2350,9713.00,,19082.00,,2788.00,,1455.00,,33038.00
WARREN,2351,9710.00,,16689.00,,2553.00,,2396.00,,31348.00
WASHINGTON,2352,66877.00,,67681.00,,14120.00,,4509.00,,153187.00
WAYNE,2353,9947.00,,19896.00,,4327.00,,1279.00,,35449.00
WESTMORELAND,2354,103110.00,,118276.00,,18730.00,,11529.00,,251645.00
WYOMING,2355,5331.00,,10744.00,,1279.00,,825.00,,18179.00
YORK,2356,100943.00,,158431.00,,39545.00,,9574.00,,308493.00
Totals:,,4207190.00,,3506337.00,,895550.00,,407086.00,,9016163.00
